,Name,Network,Announced,Status,dimensions,wight,build,sim,displaytype,displaysize,displayresolution,O_S,chipset,CPU,cardslot,internal,quad,features,video_main,single,video_selfie,Loudspeaker,wlan,bluetooth,nfc,radio,usb,sensors,battery_type,price
1,Samsung Galaxy A12,GSM / HSPA / LTE,"2020, November 24","Coming soon. Exp. release 2021, January",164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),205 g (7.23 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",TFT,"6.5 inches, 103.7 cm2 (~83.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",Android 10,Not Found,"Octa-core (2.3 GHz, 1.8 GHz)",microSDXC,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM","48 MP, f/2.0, (wide), AF
5 MP, f/2.2, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2",1080p@30fps,164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),Yes,164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),No,Unspecified,USB Type-C 2.0,Fingerprint (side-mounted); unspecified sensors,"Li-Po 5000 mAh, non-removable",About 180 EUR
2,Samsung Galaxy A02s,GSM / HSPA / LTE,"2020, November 24","Coming soon. Exp. release 2021, Februrary",-,-,"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",TFT,"6.5 inches, 105.5 cm2","720 x 1520 pixels, 19:9 ratio (~259 ppi density)",Android 10,Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,microSDXC,32GB 3GB RAM,"13 MP, (wide), AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",LED flash,1080p@30fps,"5 MP, f/2.2",,-,Yes,-,No,Unspecified,microUSB 2.0,Unspecified,"Li-Po 5000 mAh, non-removable",About 150 EUR
3,Samsung Galaxy M21s,GSM / HSPA / LTE,"2020, November 06","Available. Released 2020, November 06",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (typ)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI 2.5",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",About 230 EUR
4,Samsung Galaxy M31 Prime,GSM / HSPA / LTE,"2020, October 14","Available. Released 2020, October 17",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (peak)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI 2.0",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),128GB 6GB RAM,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,"FM radio, RDS, recording",USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable","₹ 16,499"
5,Samsung Galaxy F41,GSM / HSPA / LTE,"2020, October 08","Available. Released 2020, October 16",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (typ)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI Core 2.1",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 6GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,"FM radio, RDS, recording",USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",About 200 EUR
6,Samsung Galaxy Tab Active3,GSM / HSPA / LTE,"2020, September 28","Available. Released 2020, September 28",213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),426 g (Wi-Fi) / 429 g (LTE) (15.03 oz),Not Found,Nano-SIM,PLS IPS ,"8.0 inches, 185.6 cm2 (~68.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","Android 10, One UI 2.5",Exynos 9810 (10 nm),Octa-core (4x2.7 GHz Mongoose M3 & 4x1.7 GHz Cortex-A55),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.9, (wide), AF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","5 MP, f/2.2",,213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),Yes (EMV Level 1 certification),No,USB Type-C 3.1; magnetic connector,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 5050 mAh, removable",About 600 EUR
7,Samsung Galaxy S20 FE 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, September 23","Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 120Hz, HDR10+","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps (gyro-EIS)",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),Yes,FM radio,"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",$ 699.99 / € 679.99 / £ 684.99
8,Samsung Galaxy S20 FE,GSM / CDMA / HSPA / EVDO / LTE,"2020, September 23","Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 120Hz, HDR10+","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps (gyro-EIS)",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),Yes,No,"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","$ 514.99 / € 570.00 / £ 569.62 / ₹ 49,999"
9,Samsung Galaxy A42 5G,GSM / HSPA / LTE / 5G,"2020, September 02","Available. Released 2020, November 11",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),193 g (6.81 oz),Not Found,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.6 inches, 105.2 cm2 (~84.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Android 10, One UI 2.5",Qualcomm SM7225 Snapdragon 750 5G (8 nm) - unconfirmed,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps","20 MP, f/2.2, (wide)",1080p@30fps,164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),Yes,Unspecified,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",€ 299.26 / £ 349.00
10,Samsung Galaxy Tab A7 10.4 (2020),GSM / HSPA / LTE,"2020, September 02","Available. Released 2020, September 11",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),"476 g (Wi-Fi), 477 g (LTE) (1.05 lb)",Not Found,Nano-SIM,IPS LCD ,"10.4 inches, 307.9 cm2 (~79.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10, One UI 2.1",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),microSDXC,"32GB 3GB RAM, 64GB 3GB RAM","8 MP, AF",Not Found,1080p@30fps,5 MP,1080p@30fps,247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),No,No,USB Type-C 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 7040 mAh, non-removable",About 240 EUR
11,Samsung Galaxy M51,GSM / HSPA / LTE,"2020, August 31","Available. Released 2020, September 11",163.9 x 76.3 x 9.5 mm (6.45 x 3.00 x 0.37 in),213 g (7.51 oz),"Glass front (Gorilla Glass 3+), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED Plus ,"6.7 inches, 108.4 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10, One UI 2.5",Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",163.9 x 76.3 x 9.5 mm (6.45 x 3.00 x 0.37 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",163.9 x 76.3 x 9.5 mm (6.45 x 3.00 x 0.37 in),Yes,"FM radio, RDS","USB Type-C 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 7000 mAh, non-removable","€ 359.70 / ₹ 22,999"
12,Samsung Galaxy A51 5G UW,GSM / HSPA / LTE / 5G,"2020, August 14","Available. Released 2020, August 14",158.8 x 73.4 x 8.6 mm (6.25 x 2.89 x 0.34 in),188.8 g (6.67 oz),"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Pre-installed Nano-SIM,Super AMOLED ,"6.5 inches, 102.0 cm2 (~87.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10, One UI 2",Qualcomm SM7250 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),microSDXC (uses shared SIM slot),128GB 6GB RAM,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/120fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",158.8 x 73.4 x 8.6 mm (6.25 x 2.89 x 0.34 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",158.8 x 73.4 x 8.6 mm (6.25 x 2.89 x 0.34 in),Yes,"FM radio, RDS, recording","USB Type-C 2.0, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",About 550 USD
13,Samsung Galaxy Z Fold2 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, August 05","Available. Released 2020, September 18",Unfolded: 159.2 x 128.2 x 6.9 mm Folded: 159.2 x 68 x 16.8 mm,282 g (9.95 oz),"Glass front (folded), plastic front (unfolded), glass back, aluminum frame",Nano-SIM and/or eSIM,"Foldable Dynamic AMOLED 2X, 120Hz, HDR10+","7.6 inches, 180.8 cm2 (~88.6% screen-to-body ratio)",1768 x 2208 pixels (~373 ppi density),"Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865+ (7 nm+),Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),No,"256GB 12GB RAM, 512GB 12GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm","LED flash, HDR, panorama","4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+","10 MP, f/2.2, 26mm (wide), 1.22µm
Cover camera:
10 MP, f/2.2, 26mm (wide), 1.22µm","4K@30fps, 1080p@30fps, gyro-EIS",Unfolded: 159.2 x 128.2 x 6.9 mm Folded: 159.2 x 68 x 16.8 mm,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Unfolded: 159.2 x 128.2 x 6.9 mm Folded: 159.2 x 68 x 16.8 mm,Yes,No,USB Type-C 3.2,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, non-removable","$ 2,999.00 / € 1,471.90 / £ 1,499.00 / ₹ 149,999"
14,Samsung Galaxy Note20 Ultra 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, August 05","Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),208 g (7.34 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)",1440 x 3088 pixels (~496 ppi density),"Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS
12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4500 mAh, non-removable","$ 949.99 / € 979.87 / £ 949.99 / ₹ 104,999"
15,Samsung Galaxy Note20 Ultra,GSM / CDMA / HSPA / EVDO / LTE,"2020, August 05","Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),208 g (7.34 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED 2X, 120Hz, HDR10+","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)",1440 x 3088 pixels (~496 ppi density),"Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 512GB 8GB RAM","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS
12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4500 mAh, non-removable","$ 998.00 / £ 1,221.00"
16,Samsung Galaxy Note20 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, August 05","Available. Released 2020, August 21",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),"192 g (Sub6 5G), 194 g (mmWave 5G) (6.77 oz)","Glass front (Gorilla Glass 5), plastic back","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED Plus, HDR10+","6.7 inches, 108.4 cm2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,No,"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 27mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 3x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4300 mAh, non-removable",$ 729.99 / € 659.99 / £ 799.33
17,Samsung Galaxy Note20,GSM / CDMA / HSPA / EVDO / LTE,"2020, August 05","Available. Released 2020, August 21",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),192 g (6.77 oz),"Glass front (Gorilla Glass 5), plastic back","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED Plus, HDR10+","6.7 inches, 108.4 cm2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+) - GlobalQualcomm SM8250 Snapdragon 865+ (7 nm+) - USA,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,No,256GB 8GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
64 MP, f/2.0, 27mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 3x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF","4K@30/60fps, 1080p@30fps",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",161.6 x 75.2 x 8.3 mm (6.36 x 2.96 x 0.33 in),Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4300 mAh, non-removable","$ 679.99 / € 640.00 / £ 764.97 / ₹ 77,999"
18,Samsung Galaxy Watch3,GSM / HSPA / LTE,"2020, August 05","Available. Released 2020, August 06",46.2 x 45 x 11.1 mm (1.82 x 1.77 x 0.44 in),"53.8 (45mm), 48.2 g (41mm), 43 g (45mm tt.) (1.90 oz)","Glass front (Gorilla Glass DX), stainless steel frame 316L or titanium frame",eSIM,Super AMOLED ,"1.4 inches, 6.3 cm2 (~30.4% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~364 ppi density)",Tizen-based wearable OS 5.5,Exynos 9110 (10 nm),Dual-core 1.15 GHz Cortex-A53,No,8GB 1GB RAM,No,Not Found,Not Found,Not Found,Not Found,46.2 x 45 x 11.1 mm (1.82 x 1.77 x 0.44 in),Wi-Fi 802.11 b/g/n,46.2 x 45 x 11.1 mm (1.82 x 1.77 x 0.44 in),Yes,No,No,"Accelerometer, gyro, heart rate, barometer","Li-Ion 340 mAh, non-removable",$ 349.99 / € 279.26
